label,label_id,text,text_lower
Business,0,"Rogers Wireless to buy Canadian rival Microcell NEW YORK -- Rogers Wireless Communications Inc. said yesterday it has agreed to acquire rival Canadian cellphone carrier Microcell Telecommunications Inc. , which had been fending off a hostile suitor.","rogers wireless to buy canadian rival microcell new york -- rogers wireless communications inc. said yesterday it has agreed to acquire rival canadian cellphone carrier microcell telecommunications inc. , which had been fending off a hostile suitor."
Business,0,"Winery at a crossroads Once the crown jewel of the Napa Valley, the Robert Mondavi name is on the auction block and its future is uncertain. Robert Mondavi, 91, who more than any other person put premium California wine on the map","winery at a crossroads once the crown jewel of the napa valley, the robert mondavi name is on the auction block and its future is uncertain. robert mondavi, 91, who more than any other person put premium california wine on the map"
Business,0,"Stretching out Jonathan Neal, 24, bought a \$400,000 condo in Northwest this past summer, while high housing prices have forced many of his friends to live with their parents.","stretching out jonathan neal, 24, bought a \$400,000 condo in northwest this past summer, while high housing prices have forced many of his friends to live with their parents."
Business,0,"Business Briefs NEW YORK -- Stocks were mixed in quiet trading Monday, with blue chip and tech shares rising only modestly despite lower oil prices and several mergers and acquisitions, including Wm.","business briefs new york -- stocks were mixed in quiet trading monday, with blue chip and tech shares rising only modestly despite lower oil prices and several mergers and acquisitions, including wm."
Business,0,"Stocks Seen Stymied by Oil, Earns NEW YORK (Reuters) - Record crude oil prices, a tidal wave of quarterly earnings reports and anxiety ahead of the U.S. presidential election may pin U.S. stocks down next week.","stocks seen stymied by oil, earns new york (reuters) - record crude oil prices, a tidal wave of quarterly earnings reports and anxiety ahead of the u.s. presidential election may pin u.s. stocks down next week."
Business,0,FOCUS: N America Shares Vital In S Africa Gold Battle JOHANNESBURG (Dow Jones)--North American shareholders will play a decisive role in the outcome of the bitter takeover battle between South African gold giants Harmony Gold Mining Co.,focus: n america shares vital in s africa gold battle johannesburg (dow jones)--north american shareholders will play a decisive role in the outcome of the bitter takeover battle between south african gold giants harmony gold mining co.
Business,0,"British manufacturing output falls for third successive month (AFP) AFP - Britain's manufacturing industries experienced an unexpected drop in output in August, the first time since January 2002 that output has fallen for three months in a row.","british manufacturing output falls for third successive month (afp) afp - britain's manufacturing industries experienced an unexpected drop in output in august, the first time since january 2002 that output has fallen for three months in a row."
Business,0,"Mobile phones to get TV reception I was pretty amazed to see 3D graphics coming to mobile phones, and now it looks like TV is coming to them too! Texas Instruments has started work on a chip that","mobile phones to get tv reception i was pretty amazed to see 3d graphics coming to mobile phones, and now it looks like tv is coming to them too! texas instruments has started work on a chip that"
Business,0,"IMF Board Tells Argentina to Tackle Debt, Reforms The International Monetary Fund #39;s shareholder governments told Argentina in a meeting on Friday to live up to its promises in a \$13 billion loan program to tackle","imf board tells argentina to tackle debt, reforms the international monetary fund #39;s shareholder governments told argentina in a meeting on friday to live up to its promises in a \$13 billion loan program to tackle"
Business,0,"Index funds adjust fees to lure customers Despite perceptions to the contrary, index mutual funds really aren #39;t all alike. They don #39;t all invest in the same stocks or bonds, and they certainly don #39;t all come with the same low expenses.","index funds adjust fees to lure customers despite perceptions to the contrary, index mutual funds really aren #39;t all alike. they don #39;t all invest in the same stocks or bonds, and they certainly don #39;t all come with the same low expenses."
Sci/Tech,1,"Analyst Sees Cingular Awarding Deal Soon (Reuters) Reuters - Prudential Equity Group on Friday\said Cingular Wireless has made a decision on which vendors it\will use for the deployment of its next-generation wireless\network, with Ericsson (ERICb.ST) and Lucent Technologies Inc.\ likely the biggest beneficiaries.","analyst sees cingular awarding deal soon (reuters) reuters - prudential equity group on friday\said cingular wireless has made a decision on which vendors it\will use for the deployment of its next-generation wireless\network, with ericsson (ericb.st) and lucent technologies inc.\ likely the biggest beneficiaries."
Sci/Tech,1,"Climax Lifts The Lid On Avalon TVG first brought you word about Project Avalon close to a year ago, when the first details of the next-gen title currently in development at Climax Brighton Studio first became apparent.","climax lifts the lid on avalon tvg first brought you word about project avalon close to a year ago, when the first details of the next-gen title currently in development at climax brighton studio first became apparent."
Sci/Tech,1,Wal-Mart offers sub-\$600 notebook The retailer trots out a bargain portable PC that packs Wi-Fi. Is it getting ready for a laptop push for the holidays?,wal-mart offers sub-\$600 notebook the retailer trots out a bargain portable pc that packs wi-fi. is it getting ready for a laptop push for the holidays?
Sci/Tech,1,"First Look at Quicken 2005 Intuit tweaks personal finance tool's usability, but update isn't essential if you're running a recent version.","first look at quicken 2005 intuit tweaks personal finance tool's usability, but update isn't essential if you're running a recent version."
Sci/Tech,1,"AMD-Spansion shoves Intel into 2nd place ACCORDING TO MARKET watchers, iSuppli, in Q1-Q2 2004 Spansion (AMD/Fujitsu) remained Number One mobile phone flash memory supplier, a position it first stole from Intel in 2003.","amd-spansion shoves intel into 2nd place according to market watchers, isuppli, in q1-q2 2004 spansion (amd/fujitsu) remained number one mobile phone flash memory supplier, a position it first stole from intel in 2003."
Sci/Tech,1,"Google Sets Price of #36;85 in #36;1.67 Bln IPO (Reuters) Reuters - Google Inc. on Wednesday\said it priced its long-awaited initial public offering at #36;85\per share, far below initial expectations, ending a tumultuous\process beset by poor market conditions and a series of\missteps.","google sets price of #36;85 in #36;1.67 bln ipo (reuters) reuters - google inc. on wednesday\said it priced its long-awaited initial public offering at #36;85\per share, far below initial expectations, ending a tumultuous\process beset by poor market conditions and a series of\missteps."
Sci/Tech,1,"BUZZ: Desktops New publishing system Adobe Systems Inc. released a new version this week of the popular Acrobat desktop publishing system, with features for both authors and recipients of electronic documents.","buzz: desktops new publishing system adobe systems inc. released a new version this week of the popular acrobat desktop publishing system, with features for both authors and recipients of electronic documents."
Sci/Tech,1,"Rare Whales Said Tangled Off Carolina Coast (AP) AP - Two endangered Atlantic right whales have been spotted tangled in lines off the coast of the Carolinas, and the crews of ships in the area have been asked to look for them.","rare whales said tangled off carolina coast (ap) ap - two endangered atlantic right whales have been spotted tangled in lines off the coast of the carolinas, and the crews of ships in the area have been asked to look for them."
Sci/Tech,1,"Review: Game Boy Add-On Video Is Limiting (AP) AP - A pair of new add-ons for Nintendo Co.'s Game Boy Advance turn the handheld into something considerably more than a gaming machine #151; a video phone and a video player. As long as you bear in mind that you're dealing with a toy, you might not be too bothered by the less than stellar quality.","review: game boy add-on video is limiting (ap) ap - a pair of new add-ons for nintendo co.'s game boy advance turn the handheld into something considerably more than a gaming machine #151; a video phone and a video player. as long as you bear in mind that you're dealing with a toy, you might not be too bothered by the less than stellar quality."
Sci/Tech,1,"How To Make Phone Calls Online E-mailing your best pal in Thailand or family in Toledo is cheaper than running up a long-distance phone bill. But even brimming with smiley emoticons, text messages lack a certain personal touch.","how to make phone calls online e-mailing your best pal in thailand or family in toledo is cheaper than running up a long-distance phone bill. but even brimming with smiley emoticons, text messages lack a certain personal touch."
Sports,2,F1: Button #39;misguided #39; over move FORMULA One star Jenson Button admits his attempts to secure a move to Williams were quot;misguided quot;. The 24-year-old declared his intention to leave BAR in August to rejoin his first team but the move was blocked,f1: button #39;misguided #39; over move formula one star jenson button admits his attempts to secure a move to williams were quot;misguided quot;. the 24-year-old declared his intention to leave bar in august to rejoin his first team but the move was blocked
Sports,2,"Cardinals, King Agree to Contract Terms (AP) AP - The St. Louis Cardinals agreed to terms on a two-year contract with left-handed reliever Ray King on Friday.","cardinals, king agree to contract terms (ap) ap - the st. louis cardinals agreed to terms on a two-year contract with left-handed reliever ray king on friday."
Sports,2,Wally in the mix The Diamondbacks will interview Wally Backman for Arizona #39;s managerial position for a second time today. But Diamondbacks GM Joe Garagiola also granted the Mets permission yesterday to speak,wally in the mix the diamondbacks will interview wally backman for arizona #39;s managerial position for a second time today. but diamondbacks gm joe garagiola also granted the mets permission yesterday to speak
Sports,2,"Boise St. Broncos EL PASO, Texas (Ticker) -- Boise State got the sort of breaks that come with being a ranked team. The 23rd-ranked Broncos scored a pair of touchdowns on fumble recoveries in the end zone as they rallied for","boise st. broncos el paso, texas (ticker) -- boise state got the sort of breaks that come with being a ranked team. the 23rd-ranked broncos scored a pair of touchdowns on fumble recoveries in the end zone as they rallied for"
Sports,2,"Gough named new Livingston boss Livingston, Scotland (Sports Network) - Livingston hired former Scotland and Rangers defender Richard Gough to be its new head coach on Tuesday.","gough named new livingston boss livingston, scotland (sports network) - livingston hired former scotland and rangers defender richard gough to be its new head coach on tuesday."
Sports,2,"Olowokandi jailed for nightclub incident Indianapolis, IN (Sports Network) - Minnesota Timberwolves center Michael Olowokandi spent Wednesday night in jail after police needed a stun gun to compel him to leave a nightclub.","olowokandi jailed for nightclub incident indianapolis, in (sports network) - minnesota timberwolves center michael olowokandi spent wednesday night in jail after police needed a stun gun to compel him to leave a nightclub."
Sports,2,"Raptors rally to drop Spurs TORONTO - Lamond Murray scored all 13 of his points in the fourth quarter, helping the Toronto Raptors overcome a 20-point deficit in the second half to beat the San Antonio Spurs 96-91 yesterday.","raptors rally to drop spurs toronto - lamond murray scored all 13 of his points in the fourth quarter, helping the toronto raptors overcome a 20-point deficit in the second half to beat the san antonio spurs 96-91 yesterday."
Sports,2,World Cup of Hockey: US beats Russia 5-3 The United States hit its stride just in time to avoid elimination from the World Cup of Hockey. Facing the same Russian team that dominated them five nights earlier,world cup of hockey: us beats russia 5-3 the united states hit its stride just in time to avoid elimination from the world cup of hockey. facing the same russian team that dominated them five nights earlier
Sports,2,"Bush an unlikely Heisman candidate He doesnt start for No. 1 USC, and ranks second on the team in rushing and receiving. Hesa sophomore, and the previous winners have all been juniors or seniors.","bush an unlikely heisman candidate he doesnt start for no. 1 usc, and ranks second on the team in rushing and receiving. hesa sophomore, and the previous winners have all been juniors or seniors."
Sports,2,"NHL owners, union to meet next week Jocelyn Thibault and the handful of his Blackhawks teammates still in town waiting out the lockout have stepped up their workouts recently just in case there #39;s a season.","nhl owners, union to meet next week jocelyn thibault and the handful of his blackhawks teammates still in town waiting out the lockout have stepped up their workouts recently just in case there #39;s a season."
World,3,No freedom for nuclear scientist Pakistan's supreme court rejects a petition to free from house arrest disgraced nuclear scientist AQ Khan on health grounds.,no freedom for nuclear scientist pakistan's supreme court rejects a petition to free from house arrest disgraced nuclear scientist aq khan on health grounds.
World,3,"Violence turns to hope as Sistani #39;s arrival in Najaf heralds peace &lt;b&gt;...&lt;/b&gt; Iraq #39;s leading Shia cleric, Grand Ayatollah Ali Husseini al-Sistani, reached an apparent agreement with the radical cleric Muqtada Sadr yesterday to end a three-week uprising by Sadr #39;s Army of Mehdi militiamen in Najaf.","violence turns to hope as sistani #39;s arrival in najaf heralds peace &lt;b&gt;...&lt;/b&gt; iraq #39;s leading shia cleric, grand ayatollah ali husseini al-sistani, reached an apparent agreement with the radical cleric muqtada sadr yesterday to end a three-week uprising by sadr #39;s army of mehdi militiamen in najaf."
World,3,Palestinian gunmen free CNN producer kidnapped in Gaza strip Palestinian gunmen have released an Israeli Arab producer working for the CNN television network who was kidnapped yesterday in the Gaza Strip.,palestinian gunmen free cnn producer kidnapped in gaza strip palestinian gunmen have released an israeli arab producer working for the cnn television network who was kidnapped yesterday in the gaza strip.
World,3,"India withdraws patronage to EU visits in J amp;K Furious with a quot;biased quot; and interventionist report by a European parliamentary delegation, whose leader called Jammu and Kashmir quot;the world #39;s most beautiful prison, quot; India has withdrawn official patronage to such visits.","india withdraws patronage to eu visits in j amp;k furious with a quot;biased quot; and interventionist report by a european parliamentary delegation, whose leader called jammu and kashmir quot;the world #39;s most beautiful prison, quot; india has withdrawn official patronage to such visits."
World,3,"Strong quake rocks Tokyo and surrounding areas (AFP) AFP - A strong earthquake measuring 6.8 on the Richter scale and a series of aftershocks hit Japan's capital Tokyo and its surrounding areas, the Meteorological Agency said.","strong quake rocks tokyo and surrounding areas (afp) afp - a strong earthquake measuring 6.8 on the richter scale and a series of aftershocks hit japan's capital tokyo and its surrounding areas, the meteorological agency said."
World,3,"BCCI says Sony to telecast Australia test series (Reuters) Reuters - India's home test series against Australia next month will be telecast on Sony television, and live pictures produced by TEN Sports, the Board of Control for Cricket in India (BCCI) announced on Thursday.","bcci says sony to telecast australia test series (reuters) reuters - india's home test series against australia next month will be telecast on sony television, and live pictures produced by ten sports, the board of control for cricket in india (bcci) announced on thursday."
World,3,"Powerful blast kills 15 Iraqis in Tikrit A huge explosion rocked the northern Iraqi city of Tikrit, killing 15 Iraqis, police and doctors have said. Eight others were seriously wounded in the blast, which occurred around 17:00 GMT on Sunday, local doctors have said.","powerful blast kills 15 iraqis in tikrit a huge explosion rocked the northern iraqi city of tikrit, killing 15 iraqis, police and doctors have said. eight others were seriously wounded in the blast, which occurred around 17:00 gmt on sunday, local doctors have said."
World,3,"Lebanon Agrees to Extend Term of Leader Imposed by Syria As expected, Lebanon #39;s Parliament on Friday rubber-stamped Syria #39;s order to keep its handpicked president in office, voting in an extraordinary session to amend the Constitution to give him three more years.","lebanon agrees to extend term of leader imposed by syria as expected, lebanon #39;s parliament on friday rubber-stamped syria #39;s order to keep its handpicked president in office, voting in an extraordinary session to amend the constitution to give him three more years."
World,3,"The Berlin Wall: 15 years on It may be 15 years to the day since the Berlin Wall fell, but quot;die Mauer im Kopf quot; (literally, the wall in the head) is still there for many Germans.","the berlin wall: 15 years on it may be 15 years to the day since the berlin wall fell, but quot;die mauer im kopf quot; (literally, the wall in the head) is still there for many germans."
World,3,"Consumer Confidence Dips in September NEW YORK - Consumer confidence declined in September for the second consecutive month, a New York-based private research group said Tuesday. The Consumer Confidence Index fell 1.9 points to 96.8 from a revised reading of 98.7 in August, according to The Conference Board...","consumer confidence dips in september new york - consumer confidence declined in september for the second consecutive month, a new york-based private research group said tuesday. the consumer confidence index fell 1.9 points to 96.8 from a revised reading of 98.7 in august, according to the conference board..."
